Name;Type;KV
BEK211;Load;234,581
PAI111;Load;117,381
PAI121;Load;118,524
EKB411;Load;410,951
EKB111;Load;115,664
ELK211;Load;237,024
ELK111;Load;116,047
JAN211;Load;236,488
JAN111;Load;119,05
JAN121;Load;118,569
MIL211;Load;242,224
MIL411;Load;416,019
MIL111;Load;117,531
MIL121;Load;116,557
SDU411;Load;413,275
SDU111;Load;118,611
OLT411;Load;414,85
OLT211;Load;239,336
OLT111;Load;116,332
MOR211;Load;238,632
PRG211;Load;240,116
PRG221;Load;240,116
MOR111;Load;115,797
MOR121;Load;116,761
MSK411;Load;416,208
MSK111;Load;115,931
MSK121;Load;116,166
NAR411;Load;410,881
NAR111;Load;117,304
OST211;Load;241,523
OST411;Load;414,092
OST111;Load;121,403
PAB211;Load;237,273
PAB111;Load;119,122
PAB121;Load;118,551
PDE211;Load;238,242
PDE111;Load;115,865
PDE121;Load;115,909
PIA211;Load;237,896
PIA111;Load;116,369
PIA121;Load;114,285
PIO211;Load;235,943
PIO111;Load;118,247
PIO121;Load;117,621
PLO411;Load;407,728
PLO111;Load;115,919
EPL411;Generator;406,284
ROG211;Generator;236,621
ROG221;Load;236,249
ROG411;Swing;404,868
BEE411;Generator;393,66
SOC211;Load;238,633
SOC111;Load;117,007
TRE411;Load;402,979
TRE111;Load;116,07
TRE121;Load;115,259
ZGI211;Load;235,042
ZGI111;Load;118,952
EBE111;Load;116,677
PRG111;Generator;116,785
PRG121;Load;117,148
ABR212;Load;231,426
ABR112;Load;116,965
BGC212;Load;229,175
BGC112;Load;118,703
CHM212;Load;230,485
CHM112;Load;118,037
CHS212;Load;239,917
CHS112;Load;115,549
KIE212;Load;235,08
KIE412;Load;406,078
KOZ212;Generator;231,827
KOZ412;Generator;410,584
KOZ112;Generator;118,455
KPK212;Load;235,15
KPK112;Load;116,849
KRI412;Load;410,253
KRI112;Load;114,117
LSY112;Load;116,769
MKR212;Load;236,44
MKR112;Load;122,026
OSC412;Load;406,29
OSC112;Load;118,741
PEL212;Generator;231,893
PEL412;Generator;405,056
PEL112;Generator;118,204
RAD212;Load;235,367
RAD112;Load;116,547
ROZ212;Load;232,747
ROZ112;Load;118,864
RZE412;Load;406,998
RZE112;Load;119,315
RZE122;Load;120,126
STW212;Generator;224,374
STW112;Load;118,372
ZAM212;Load;236,611
ZAM112;Load;122,173
OSP112;Load;121,578
ANI213;Load;233,292
ANI113;Load;116,763
BIR213;Load;231,697
BIR113;Load;118,387
BIR123;Load;117,226
BLA213;Load;228,955
BLA113;Generator;116,73
BLA123;Load;116,932
BUJ213;Load;231,786
BYC213;Load;232,2
BYC413;Generator;408,46
DBN413;Generator;407,352
DBN113;Load;119,927
DBN123;Generator;120,215
SKA413;Load;409,4
GRO213;Load;231,06
GRO113;Load;119,708
GRO123;Load;119,516
JAM213;Load;230,928
JAM113;Load;117,504
JAM123;Load;124,981
JOA213;Load;233,655
JOA21PF;Load;232,908
JOA22PF;Load;234,531
JOA413;Load;405,585
KAT213;Load;229,846
KAT113;Load;117,754
KLA213;Load;232,975
KLA113;Load;116,847
KLA123;Load;116,648
KOP213;Load;229,212
KOP113;Load;116,243
KOP123;Load;116,313
KOP133;Generator;117,784
LAG213;Load;231,281
LAG413;Load;407,108
LAG113;Load;118,796
LAG123;Load;116,664
LOS213;Load;230,708
LOS223;Load;233,178
LOS113;Load;118,04
LUA213;Load;232,052
LUA113;Load;116,109
MOS213;Load;226,616
MOS113;Load;116,115
MOS123;Load;115,62
PRB213;Load;230,585
PRB113;Load;117,038
ROK413;Load;409,019
ROK113;Load;116,774
ROK123;Load;115,91
SIE213;Load;231,549
SIE113;Load;115,856
SIE123;Load;118,698
SKA213;Generator;232,784
SKA113;Load;118,773
SKA123;Load;116,273
TAW413;Load;408,167
TAW113;Load;116,631
TCN413;Load;408,169
TCN113;Load;117,713
TCN123;Generator;117,715
WAN213;Load;232,378
WAN113;Load;115,967
WAN123;Load;115,994
WIE213;Generator;229,123
WIE413;Load;408,478
WIE113;Load;116,434
WIE123;Load;116,84
WIE133;Load;115,849
WRZ213;Load;233,095
WRZ113;Load;116,913
WRZ123;Load;116,812
ADA214;Load;238,19
ADA114;Load;116,923
CPC214;Load;234,632
CPC114;Load;119,472
CRN414;Load;408,439
CRN114;Load;117,694
CZE214;Load;237,577
CZE114;Load;117,609
MIK424;Load;404,145
MIK434;Load;404,16
GLN214;Load;237,93
MIK444;Load;404,75
GLN114;Load;115,919
MIK454;Load;404,762
GOR214;Load;236,875
GOR114;Load;116,729
KRA214;Generator;237,508
KRA414;Generator;408,983
LES214;Load;236,485
LES114;Load;117,571
LSN214;Load;231,063
LSN114;Load;119,569
MIK214;Generator;234,626
MIK21PF;Load;234,639
MIK22PF;Load;234,639
MIK414;Generator;405,864
MIK114;Load;117,644
MON214;Load;237,368
MON414;Load;410,122
MON114;Load;116,14
OSR114;Load;114,846
PAS414;Load;407,801
PAS114;Load;121,952
PAS124;Load;121,888
PAT414;Generator;404,192
PAT214;Load;238,726
PAT114;Load;117,513
PKW214;Load;238,358
PKW224;Load;238,358
PKW114;Load;116,34
PKW124;Load;116,483
PLE214;Load;238,309
PLE414;Load;407,135
PLE114;Load;120,578
PLE124;Load;118,095
PLE134;Load;115,666
KRM414;Load;407,14
KRM114;Load;120,206
POL414;Load;407,634
POL214;Load;234,765
POL114;Load;117,446
POL124;Load;117,658
POL134;Load;117,095
PPD214;Load;238,682
PPD114;Load;116,703
SWI414;Load;404,929
SWI214;Load;235,862
SWI114;Load;117,097
ZBK214;Load;236,256
ZBK114;Load;115,038
ZUK214;Load;232,373
ZUK114;Load;117,193
OSR414;Load;406,448
EC2114;Generator;117,413
EC2124;Load;117,369
WRC414;Load;405,247
WRC114;Load;121,341
REC214;Load;236,526
REC114;Generator;115,619
NCR214;Load;237,508
NCR114;Load;123,824
BAN114;Generator;123,784
KZL114;Load;124,656
BYD215;Load;239,513
BYD115;Load;118,335
DUN215;Load;235,249
DUN415;Load;408,076
DUN115;Load;118,318
DAG115;Generator;118,634
GBL415;Load;411,832
GBL115;Load;116,132
ZDK215;Load;235,556
GDA215;Load;238,998
GDA415;Load;409,487
GDA115;Load;116,219
GRU215;Load;239,082
GRU415;Load;412,155
GRU115;Load;116,594
PLP115;Load;114,965
JAS415;Load;411,248
JAS215;Load;240,343
JAS115;Load;118,21
OLM415;Load;410,844
OLM215;Load;234,94
OLM115;Load;121,819
OLS215;Load;235,588
OLS115;Load;121,283
SLK415;Load;403,884
SLK115;Load;115,326
SLK-DC;Load;403,573
SLO115;Load;113,561
BCO115;Generator;113,5
TEL215;Load;236,607
TEL115;Load;114,579
PLP415;Load;410,249
WLA215;Load;231,765
WLA115;Load;113,377
ZRC415;Generator;407,232
ZRC115;Load;119,902
ZRO115;Load;120,044
OSK115;Generator;119,961
ZDK115;Load;119,855
ZDK415;Load;405,341
ZYD115;Generator;119,676
FDB111;Generator;114,532
ZAW115;Load;115,946
ZAW215;Load;231,683
ZAW21PF;Load;231,605
DUN225;Load;235,229
