Bus;Name;MW min;Current MW;MW max;Mvar min;Current Mvar;Mvar max
DBN123;OPL_1-01;180;197,84;387,9;-50,108;13,4559;295,377
DBN413;OPL_4-05;360;408;900;-457,656;-22,8961;834,271
DBN413;OPL_4-06;24,5;429,92;908,8;-455,601;-22,8961;829,247
BYC413;JW2_4-07;292,8;361,41;924;-462;115,848;844
BCO115;PTW_1-01;1;2,26;46,3;-7,16397;6,28502;7,16397
BCO115;PTW_1-02;1;9,04;55;-9,95854;6,28502;9,95854
DAG115;DUN_1-01;1;3,66;127,7;-51,8868;48,0558;51,8868
EPL411;PLO_4-01;147;310,92;630;-280,299;-260,756;502,552
FDB111;DEB_1-01;1;11,27;121;-55;10,6246;55
OSK115;OSK_1-01;1;1,51;45;-1,60664;-1,60664;1,51
OSK115;OSK_1-02;0,8;0,8;45;-0,898222;-0,898222;0,8
BEE411;BEL_4-14;405,7;432,41;859,5;-349,679;-269,356;757,715
ZYD115;ZYD_1-02;-63;-58,37;55,5;-29;-5,01041;33
MIK414;TUR_4-11;13,9;211,45;496,1;-180,719;-28,3474;396,798
BAN114;BAN_2-03;1;1,2;81,5;-3,47879;-3,47879;3,47879
BAN114;BAN_2-04;1;3,56;56,1;-11,4;-11,4;11,4
BAN114;BAN45P11;1;6,36;12;0;0;0
BLA113;BLW_1-02;21,1;49,52;55;-10;8,39479;45
EC2114;KAR_1-02;36,6;50,46;100;-17;20,3905;91
KOZ212;KOZ12-01;8,2;139,59;228,9;-38,0137;-38,0137;183,096
KOZ212;KOZ12-04;16,1;119,31;228,9;-38;-38;188
KOZ212;KOZ12-05;4,3;118,63;229,9;-38;-38;187
KOZ112;KOZ11-06;7,2;21,56;228;-39;22,8289;190
KOZ212;KOZ12-07;8,4;118,57;225;-38,5715;-38,5528;188,286
KOZ412;KOZ24-09;25,2;313,28;568,9;-110,836;-110,836;451,881
KRA214;DOD_2-05;32,4;110,52;222;-21,948;-0,15246;130,948
KRA414;DOD_4-07;120;122,67;225,7;-37,733;-37,733;162,333
KOP133;LZA31-10;3,9;142,51;225,1;-25,6235;36,0123;150,62
MIK214;TUR_2-02;100;100,33;252,1;-74,901;-16,752;128,918
MIK214;TUR_2-06;103,2;103,77;261;-85;-16,752;192
PAT414;PAT24-09;17,2;207,55;475,5;-181,245;-127,699;398,112
PEL212;POL_2-03;34,9;139,83;242;-87,4529;-24,4001;191,39
PEL212;POL_2-04;7,1;105,05;243,7;-89;-24,4001;195
PEL412;POL_4-06;16,4;157,7;242;-98;-48,88;205
PEL412;POL_4-07;4,9;167,37;239,3;-96,9156;-48,88;201,662
REC114;JGN_1-01;1;9,8;31;-2;2;2
ROG411;BEL_4-10;11,1;193,208;390;-148;-26,6242;301
ROG411;BEL_4-12;165,1;193,208;392,5;-114;-26,6242;306
ROG211;BEL_2-05;21,2;220,88;380;-54,824;-40,1544;292,128
ROG411;BEL_4-06;14,9;193,208;394;-111;-26,6242;314
ROG411;BEL_4-07;7,6;193,208;392,8;-106;-26,6242;221
SKA213;SNA22-06;55,2;68,16;110;0;14,9417;58
STW212;STW42-01;54,1;104,49;304;-160,5;-80,9918;265,003
STW212;STW42-02;29,4;82,35;163;-81,465;-80,9918;135,936
TCN123;YKKS1-04;25;54,68;72;-34;1,15133;59
WIE213;RYB_2-05;11,7;142,05;225,6;-48,154;-10,3855;177,462
WIE213;RYB_2-06;11,2;141,4;225,6;-47,72;-10,3855;177,867
PRG111;WZE_1-12;9,2;70,11;97;0;0;20
ZRC415;ZRN_4-01;-206,7;-205,11;179,4;-10;4,52189;82
ZRC415;ZRN_4-02;-184,1;-182,89;179,8;-17,4143;4,52189;84,2813
ZRC415;ZRN_4-03;-203,3;-202,95;179,8;-10;4,52189;82
