From_bus_ID;To_bus_ID;Elements;Difference;OPL_1-01;OPL_4-05;OPL_4-06;JW2_4-07;PTW_1-01;PTW_1-02;DUN_1-01;PLO_4-01;DEB_1-01;OSK_1-01;OSK_1-02;BEL_4-14;ZYD_1-02;TUR_4-11;BAN_2-03;BAN_2-04;BAN45P11;BLW_1-02;KAR_1-02;KOZ12-01;KOZ12-04;KOZ12-05;KOZ11-06;KOZ12-07;KOZ24-09;DOD_2-05;DOD_4-07;LZA31-10;TUR_2-02;TUR_2-06;PAT24-09;POL_2-03;POL_2-04;POL_4-06;POL_4-07;JGN_1-01;BEL_4-10;BEL_4-12;BEL_2-05;BEL_4-06;BEL_4-07;SNA22-06;STW42-01;STW42-02;YKKS1-04;RYB_2-05;RYB_2-06;WZE_1-12;ZRN_4-01;ZRN_4-02;ZRN_4-03
15310;-;DBN123;0,999999;103,454;-10,525;-10,525;1,48008;0,878956;0,915991;2,70292;-1,35684;-0,0118313;0,00335717;0;0,0704956;5,52742;131,954;-4,63681;-15,1948;-0;0,0443544;-0,67922;1,96788;1,95421;1,95421;0,95225;2,50702;-20,3154;17,2229;492,548;0,283276;-0,15477;-0,15477;-3,97182;0,0887585;0,0887585;3,62952;3,62952;30,8686;0,230913;0,230913;-0,288322;0,230913;0,230913;0,728815;0,389511;0,389511;0,178996;0,321905;0,321905;-1,09959;6,67026;6,67026;6,67026
15280;-;DBN413;1,00002;-7,03823;19,0726;19,0726;-1,40361;-0,00271702;-0,00271702;0,325512;-0,0317383;-0,000225067;0;0;-2,93845;-0,0340242;-3,59668;0;0;0;-0,116662;-0,16559;0;0;0;-0,00426102;-0,0186996;0;-0,0316151;0;-0,0308838;-1,00969;-1,00969;-0,727173;-0,00457573;-0,00457573;-0,0567245;-0,0567245;0;-1,33108;-1,33108;-0,174938;-1,33108;-1,33108;-0,118892;-0,00109863;-0,00109863;-0,405331;-1,60523;-1,60523;0;-0,0241632;-0,0241632;-0,0241632
15150;-;BYC413;1,00002;0,00448799;-0,684111;-0,684111;37,855;-0,00237942;-0,00237942;0,308514;0,00427246;0,000333786;0;0;-0,256989;-0,0223064;-0,00836945;0;0;0;-0,397072;-0,00586128;0;0;0;-0,006567;-0,0186996;0;-0,0280396;0;-0,871387;-0,00296211;-0,00296211;-0,0124588;-0,151243;-0,151243;-2,49931;-2,49931;0;-1,58123;-1,58123;-0,400349;-1,58123;-1,58123;-5,34584;-0,0124207;-0,0124207;-6,23225;-1,49784;-1,49784;0;-0,0115662;-0,0115662;-0,0115662
35610;-;BCO115;-0,896564;-8,01086E-05;0,00261307;0,00261307;-0,000694275;-13,449;-16,2436;0,677456;0,0934448;0,00123501;0,00135934;0;0,00128174;0,883721;0,00148582;0;0;0;-0,000547409;0,00885582;0;0;0;0,000785828;0,00907898;0;-0,608456;1,35889;-0,000209808;0,000165939;0,000165939;0,0335846;-0,000183105;-0,000183105;0,0022583;0,0022583;0;0,00288582;0,00288582;0,00151062;0,00288582;0,00288582;0,000375748;6,86646E-05;6,86646E-05;5,87702E-05;-2,38419E-05;-2,38419E-05;0;1,0528;1,0528;1,0528
34950;-;DAG115;-0,999999;0,000184059;0,0103893;0,0103893;-0,00234222;0,193454;0,193454;-65,5869;0,121704;0,00170326;0;0;0,00405884;3,64703;0,0139637;0;0;0;-0,000476837;0,0616512;0;0;0;0,000917435;0,0119705;0;-0,153395;5,18369;-0,000190735;0,0169735;0,0169735;0,0881348;-0,000177383;-0,000177383;0,00288391;0,00288391;0;0,00977516;0,00977516;0,00501251;0,00977516;0,00977516;0,000385284;7,62939E-05;7,62939E-05;0,00019908;0,00115013;0,00115013;0;1,26591;1,26591;1,26591
960;-;EPL411;1,00002;-1,23978E-05;-0,019289;-0,019289;-0,0104828;-0,0111389;-0,0111389;0,306458;24,9472;-1,04109;0;0;-0,0203552;-0,22424;-0,0328236;0;0;0;-0,00116158;-0,141689;0;0;0;-0,529318;-0,0186996;0;-0,0508009;0;-0,000854492;-0,0161648;-0,0161648;-0,598907;-8,2016E-05;-8,2016E-05;-0,301559;-0,301559;0;-1,70218;-1,70218;-0,131912;-1,70218;-1,70218;-0,00393009;-0,0312119;-0,0312119;-0,00611126;-0,00363731;-0,00363731;0;-0,58921;-0,58921;-0,58921
37340;-;FDB111;0,999999;3,43323E-05;0,000104904;0,000104904;-0,00161743;-0,00269699;-0,00269699;0,307732;-3,62653;14,9941;0;0;-0,000579834;-0,0299735;-0,00317383;0;0;0;-0,000608444;-0,0282707;0;0;0;-0,00730896;-0,0186996;0;-0,0289565;0;-0,000221252;-0,0035305;-0,0035305;-0,0261307;8,7738E-05;8,7738E-05;-0,0104713;-0,0104713;0;-0,055748;-0,055748;-0,0225067;-0,055748;-0,055748;0,000283241;-5,34058E-05;-5,34058E-05;8,38041E-05;-0,000285149;-0,000285149;0;-0,0290399;-0,0290399;-0,0290399
35860;-;OSK115;0,225806;-9,05991E-05;0,00101471;0,00101471;-0,000900269;-0,00226927;-0,00226927;0,33305;0,00540161;0,000432968;3,11664;1,69822;0,000244141;-0,0207734;-0,00130272;0;0;0;-0,000561714;-0,00345993;0;0;0;0,000181198;0,000209808;0;-0,0272212;0;-0,000209808;-0,00243759;-0,00243759;-0,000564575;-0,000120163;-0,000120163;0,000339508;0,000339508;0;1,14441E-05;1,14441E-05;0,000667572;1,14441E-05;1,14441E-05;0,000419617;5,34058E-05;5,34058E-05;3,21865E-06;-0,000221252;-0,000221252;0;-0,743997;-0,743997;-0,743997
1180;-;BEE411;0,999999;0,000798225;-1,52013;-1,52013;-0,267998;-0,00248909;-0,00248909;0,308064;-0,0123291;0,000142097;0;0;19,928;-0,0263834;-0,308653;0;0;0;-0,023757;-0,0790577;0;0;0;-0,00150108;-0,0186996;0;-0,0292006;0;-0,0156631;-0,0203972;-0,0203972;-0,508255;-0,00232506;-0,00232506;-0,0335655;-0,0335655;0;-3,28106;-3,28106;-0,268017;-3,28106;-3,28106;-0,0846062;-0,000587463;-0,000587463;-0,0928588;-0,184582;-0,184582;0;-0,0169792;-0,0169792;-0,0169792
35940;-;ZYD115;0,965407;-0,000273705;-0,0167637;-0,0167637;-0,000495911;-0,291019;-0,291019;-1,43965;-0,696686;-0,006567;0,00816512;0;-0,0132751;38,0104;-0,0495949;0;0;0;-0,00066185;-0,280529;0;0;0;-0,0219364;-0,0186996;0;-1,14802;0;-0,000270844;-0,0409298;-0,0409298;-0,443039;-0,000192642;-0,000192642;-0,0195465;-0,0195465;0;-0,033989;-0,033989;-0,0179672;-0,033989;-0,033989;0,000105858;-0,00134277;-0,00134277;-0,000433326;-0,00133991;-0,00133991;0;-3,16986;-3,16986;-3,16986
26030;-;MIK414;1,00002;-0,00468063;-1,81018;-1,81018;-0,00762177;-0,00263071;-0,00263071;0,306885;-0,0240173;-0,00019455;0;0;-0,294739;-0,0369277;33,5232;0;0;0;-0,00149727;-0,28023;0;0;0;5,14984E-05;-0,00253296;0;-0,0387512;0,00173187;-0,000614166;-11,4439;-11,4439;-0,749405;-0,000217438;-0,000217438;-0,000843048;-0,000843048;0;-0,317486;-0,317486;-0,0119171;-0,317486;-0,317486;-0,00183868;2,28882E-05;2,28882E-05;-0,00274062;-0,00769711;-0,00769711;0;-0,0224652;-0,0224652;-0,0224652
