From Bus;To Bus;Name;Current tap;Max tap
BEK211;PAI111;BEK-A1;6;21
BEK211;PAI121;BEK-A2;12;21
EKB411;EKB111;EKB-A1;4;17
ELK211;ELK111;ELK-A1;7;27
ELK211;ELK111;ELK-A2;7;27
JAN211;JAN111;JAN-A1;8;27
JAN211;JAN121;JAN-A3;8;27
MIL211;MIL121;MIL-A1;9;20
MIL111;MIL411;MIL-T4;14;17
MIL121;MIL411;MIL-A5;13;17
OLT411;OLT111;OLT-A4;5;17
OLT211;OLT411;OLT-A1;13;21
OLT211;OLT411;OLT-A2;13;21
MOR211;MOR111;MOR-A1;7;21
MOR211;MOR121;MOR-A2;4;21
MOR211;MOR121;MOR-A3;5;27
PRG211;PRG111;PRG-A1;4;21
PRG211;PRG121;PRG-A2;5;21
MSK111;MSK411;MSK-A2;16;17
MSK121;MSK411;MSK-A1;13;18
NAR411;NAR111;NAR-A2;6;17
NAR111;NAR411;NAR-A1;11;18
OST211;OST411;OST-A1;12;21
OST211;OST111;OST-A3;8;21
OST411;OST111;OST-A2;9;17
PAB211;PAB111;PAB-A1;9;27
PAB211;PAB121;PAB-A2;6;21
PDE211;PDE111;PDE-A1;5;27
PDE211;PDE121;PDE-A2;6;27
PIA211;PIA111;PIA-A1;6;27
PIA211;PIA121;PIA-A2;3;27
PIO211;PIO111;PIO-A1;9;27
PIO211;PIO121;PIO-A2;7;21
PLO411;PLO111;PLO-A1;5;17
PLO111;PLO411;PLO-T2;13;17
ROG211;ROG411;ROG-A1;11;21
ROG221;ROG411;ROG-A2;11;21
ROG411;EBE111;T_EQ1;11;21
SOC211;SOC111;SOC-A2;8;27
TRE111;TRE411;TRE-T1;13;17
TRE121;TRE411;TRE-T2;13;17
ZGI211;ZGI111;ZGI-A1;13;27
ABR212;ABR112;ABR-A2;8;21
ABR212;ABR112;ABR-A1;7;21
BGC212;BGC112;BGC-A1;14;27
CHM212;CHM112;CHM-A2;7;21
CHS212;CHS112;CHS-A2;3;27
KIE212;KIE412;KIE-A1;11;17
KOZ212;KOZ412;KOZ-A2;14;19
KOZ212;KOZ112;KOZ-A1;9;27
KOZ212;KOZ112;KOZ-A3;9;21
KPK212;KPK112;KPK-A1;6;21
KPK212;KPK112;KPK-A2;6;21
KRI112;KRI412;KRI-T1;14;18
MKR212;MKR112;MKR-A1;11;22
OSC112;OSC412;OSC-T2;11;17
PEL212;PEL112;PEL-A1;9;21
RAD212;RAD112;RAD-A2;8;27
RAD212;RAD112;RAD-A1;6;27
ROZ212;ROZ112;ROZ-A1;10;27
ROZ212;ROZ112;ROZ-A2;10;21
RZE412;RZE122;RZE-A2;16;17
RZE112;RZE412;RZE-T1;13;17
STW212;STW112;STW-A1;5;21
STW212;STW112;STW-A2;12;21
ZAM212;ZAM112;ZAM-A1;13;27
OSP112;OSC412;OSC-T3;10;19
ANI213;ANI113;ANI-A1;8;21
BIR213;BIR113;BIR-A2;11;27
BIR213;BIR123;BIR-A1;8;21
BLA213;BLA113;BLA-A1;12;25
BLA213;BLA123;BLA-A2;12;27
BYC213;BYC413;BYC-A1;15;21
BYC213;BYC413;BYC-A2;15;21
DBN413;DBN113;DBN-A1;9;17
DBN413;DBN123;DBN-A2;9;17
SKA413;SKA113;SKA-A3;8;17
GRO213;GRO113;GRO-A2;12;21
GRO213;GRO123;GRO-A1;13;27
JAM213;JAM113;JAM-A1;13;27
JAM213;JAM123;JAM-A2;17;27
JOA21PF;JOA413;JOA-A1;16;21
JOA22PF;JOA413;JOA-A2;13;21
KAT213;KAT113;KAT-A2;14;27
KAT213;KAT113;KAT-A1;11;27
KLA213;KLA113;KLA-A2;7;21
KLA213;KLA123;KLA-A1;7;26
KOP213;KOP113;KOP-A2;9;21
KOP213;KOP123;KOP-A1;10;21
LAG213;LAG413;LAG-A2;13;21
LAG213;LAG113;LAG-A1;7;20
LAG123;LAG413;LAG-A3;11;17
LOS213;LOS113;LOS-A1;15;27
LUA213;LUA113;LUA-A4;7;21
MOS213;MOS113;MOS-A4;10;21
MOS213;MOS123;MOS-A3;13;27
PRB213;PRB113;PRB-A1;11;27
ROK113;ROK413;ROK-T2;13;16
ROK123;ROK413;ROK-T1;13;16
SIE213;SIE113;SIE-A1;10;27
SIE213;SIE123;SIE-A2;13;27
SKA213;SKA123;SKA-A1;6;21
SKA213;SKA123;SKA-A2;6;21
TCN113;TCN413;TCN-T1;12;16
TCN123;TCN413;TCN-T2;13;16
WAN213;WAN113;WAN-A1;8;27
WAN213;WAN123;WAN-A2;6;21
WIE213;WIE113;WIE-A1;10;27
WIE213;WIE133;WIE-A2;8;21
WIE413;WIE213;WIE-A3;11;24
WIE413;WIE123;WIE-A5;2;16
WRZ213;WRZ113;WRZ-A3;11;21
WRZ213;WRZ123;WRZ-A4;7;27
ADA214;ADA114;ADA-A1;6;27
ADA214;ADA114;ADA-A2;5;21
CPC214;CPC114;CPC-A1;10;27
CRN114;CRN414;CRN-T1;13;16
CRN114;CRN414;CRN-A2;12;18
CZE214;CZE114;CZE-A1;7;21
CZE214;CZE114;CZE-A2;6;21
GLN214;GLN114;GLN-A1;5;27
GLN214;GLN114;GLN-A2;3;21
GOR214;GOR114;GOR-A1;6;27
GOR214;GOR114;GOR-A2;6;27
KRA214;KRA414;KRA-A2;12;16
KRA214;KRA414;KRA-A3;12;21
LES214;LES114;LES-A1;8;27
LES214;LES114;LES-A2;7;21
LSN214;LSN114;LSN-A1;12;21
LSN214;LSN114;LSN-A2;11;21
LSN214;LSN114;LSN-A3;11;21
MIK214;MIK114;MIK-A3;7;21
MIK214;MIK114;MIK-A4;7;21
MIK21PF;MIK414;MIK-A1;13;21
MIK22PF;MIK414;MIK-A2;13;21
MON214;MON414;MON-A3;8;20
MON214;MON114;MON-A1;3;21
MON114;MON414;MON-A4;12;17
