2025-12-04 23:09:20 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Zgodne
2025-12-04 23:09:48 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:14:39 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:17:30 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:20:08 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:20:55 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:21:24 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:22:12 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:23:02 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:23:45 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:24:15 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:26:20 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
2025-12-04 23:28:23 | Left: D:\testy\WZOR | Right: D:\testy\folderB | Result: Niezgodne
